,id,Iforest,LOF,FCA,
107,41976-NTFS:\Windows\WinSxS\amd64_microsoft-windows-s..restartup-repairbde_31bf3856ad364e35_6.3.9600.16384_none_c2b2a162e3fc49f9\repair-bde.exe,1,0,0,1
108,38968-NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\PowerShell\ScheduledJobs,1,0,0,1
109,81745-NTFS:\Windows\WinSxS\amd64_microsoft-windows-s..settings-adminflows_31bf3856ad364e35_6.3.9600.16384_none_4d9c63085deace6b\SystemSettingsAdminFlows.exe,1,0,0,1
110,435-NTFS:\Users\Administrator\AppData\Local\Microsoft\Windows\WER\ReportQueue\NonCritical_x64_9b7b96e7449d9b89f8a366d8a7931ec83e213_00000000_04bb618a,1,0,0,1
111,38011-NTFS:\Windows\WinSxS\amd64_microsoft-hyper-v-g..aller-win5x-package_31bf3856ad364e35_6.3.9600.16384_none_c2eb89f15e4b2ce0\Windows5.x-HyperVIntegrationServices-x64.msi,1,0,0,1
112,82537-NTFS:\Windows\WinSxS\amd64_microsoft-windows-t..vercommandlinetools_31bf3856ad364e35_6.3.9600.16384_none_ab01eeed78ba027b\flattemp.exe,1,0,0,1
113,86391-NTFS:\Program Files\VMware\VMware Tools\messages\zh_CN,0,0,1,1
114,82581-NTFS:\Windows\WinSxS\amd64_microsoft-windows-telnet-server-tlntsess_31bf3856ad364e35_6.3.9600.16384_none_9ab560005c764403\tlntsess.exe,1,0,0,1
115,84496-NTFS:\Windows\WinSxS\x86_microsoft-windows-mediaplayer-setup_31bf3856ad364e35_6.3.9600.16384_none_42938e08f2246f2b\setup_wm.exe,1,0,0,1
116,84448-NTFS:\Windows\WinSxS\x86_microsoft-windows-d..files-x64-minkernel_31bf3856ad364e35_6.3.9600.16384_none_a02b82dd67d2bb5c\bootmgr.exe,1,0,0,1
118,46657-NTFS:\Windows\WinSxS\amd64_updateservices-services_31bf3856ad364e35_6.3.9600.16384_none_6f837e94933e9c39\WsusService.exe,1,0,0,1
119,37144-NTFS:\Windows\WinSxS\amd64_clientbackup-restorecd_31bf3856ad364e35_6.3.9600.16384_none_a2f5f88f06574944\WSSDriverSetup.exe,1,0,0,1
121,72663-NTFS:\Windows\WinSxS\x86_microsoft-hyper-v-guest-installer_31bf3856ad364e35_6.3.9600.16384_none_0644c5b63d5c8d2f\setup.exe,1,0,0,1
122,85032-NTFS:\Users\Administrator\AppData\Local\Microsoft\Internet Explorer\IECompatData,1,0,0,1
123,41272-NTFS:\Windows\WinSxS\amd64_microsoft-windows-ocspsvc_31bf3856ad364e35_6.3.9600.16384_none_cdffae75374dc6b1\ocspsvc.exe,1,0,0,1
124,72491-NTFS:\Windows\WinSxS\wow64_microsoft-windows-mediafoundation_31bf3856ad364e35_6.3.9600.17031_none_97a52bdd14f3bd64\rrinstaller.exe,1,0,0,1
126,84595-NTFS:\Windows\WinSxS\x86_microsoft-windows-webcamexperience_31bf3856ad364e35_6.3.9600.16388_none_018c95f8c7641187\CameraSettingsUIHost.exe,1,0,0,1
127,72266-NTFS:\Windows\WinSxS\wow64_microsoft-windows-advancedtaskmanager_31bf3856ad364e35_6.3.9600.16384_none_a9f9e53cf3d719b5\Taskmgr.exe,1,0,0,1
128,41224-NTFS:\Windows\WinSxS\amd64_microsoft-windows-nfs-admincmdtools_31bf3856ad364e35_6.3.9600.16384_none_a56c7cc166ff2b2a\nfsadmin.exe,1,0,0,1
129,72652-NTFS:\Windows\WinSxS\x86_microsoft-hyper-v-g..t-installer-support_31bf3856ad364e35_6.3.9600.16384_none_045bf44483c207df\WindowsServer2003-KB943295-x86-ITA.exe,1,0,0,1
